CpG,estimate,exp.estimate,se,z,p.value,n,p.adjust,DHS,Enhancer,Relation_to_Island,chr,UCSC_RefGene_Name,UCSC_RefGene_Group
cg14025020,0.775754400838782,2.172230241524569,0.24856882600164965,3.1208837138476633,0.0018030922002300514,601,0.3012288158226611,Yes,No,OpenSea,chr5,DMXL1;DMXL1;DMXL1,Body;Body;Body
cg09755313,0.5824984152248605,1.7905062752990142,0.18682597280987395,3.117866356931261,0.0018216538606844904,601,0.3024050654192054,Yes,No,OpenSea,chr12,ESYT1;ESYT1;ESYT1;ESYT1,ExonBnd;ExonBnd;Body;Body
cg06654628,-1.3019421461324276,0.2720030101192655,0.4176564748800333,-3.1172559853319513,0.0018254299273595558,601,0.3025412927617207,Yes,No,OpenSea,chr5,SYNPO;SYNPO;SYNPO;SYNPO,TSS1500;Body;Body;TSS1500
cg03766648,0.6888060828632341,1.9913366224958435,0.22099275480661054,3.116871788244842,0.0018278104515997181,601,0.3026061454278521,Yes,No,OpenSea,chr8,SCARA5,Body
cg24630383,0.7406158480620384,2.097226689862239,0.23766719120330726,3.1161888366345636,0.0018320491330016976,601,0.30277272946637207,Yes,No,S_Shelf,chr2,ASAP2;ASAP2,Body;Body
cg11931253,-0.5998518969873947,0.548892922769937,0.1926361113438489,-3.113911990865926,0.0018462455174594577,601,0.30330074260652423,Yes,No,Island,chr19,KIAA1543;KIAA1543,Body;Body
cg26291072,-0.9850338200640857,0.3734265974116407,0.3165982438875708,-3.1113053817629113,0.0018626220628383057,601,0.3044714225570866,Yes,No,OpenSea,chr17,,
cg05296801,-1.113500375805538,0.32840739748980635,0.35829189658938865,-3.107802287478572,0.0018848411675876102,601,0.30510838909422133,No,Yes,OpenSea,chr16,,
cg13171679,-1.1625397660667278,0.3126910095200653,0.3741257905476967,-3.107349975431639,0.0018877277300238433,601,0.30510838909422133,Yes,No,OpenSea,chr8,,
cg21487631,-1.303125326703789,0.27168137175799284,0.4193569400029436,-3.1074371314676275,0.0018871712025099769,601,0.30510838909422133,No,No,OpenSea,chr1,AK5;AK5,Body;Body
cg05146536,-1.2191420008121294,0.2954835828672604,0.39256524678942134,-3.105578017368659,0.001899075156351579,601,0.3053094929293047,Yes,No,OpenSea,chr4,,
cg05104574,-1.166798937651796,0.3113620370273732,0.3766328481056555,-3.0979744425384745,0.0019484823143457307,601,0.3076468651807174,No,No,OpenSea,chr8,,
cg26453900,0.6126853527892565,1.8453802481010577,0.1979851436517905,3.0946026630504484,0.0019707671679234946,601,0.3079737655199065,Yes,Yes,OpenSea,chr1,,
cg16346032,-0.8406780640528171,0.43141789526345137,0.2718266312007423,-3.0926994177843508,0.0019834492140686816,601,0.3082087695109814,Yes,No,OpenSea,chr1,,
cg20357538,-0.8305599728593307,0.4358051789090066,0.26869293952066775,-3.091112011878691,0.001994083949044812,601,0.3087488844656152,Yes,No,OpenSea,chr15,CHSY1,Body
cg16948651,-0.8940376412305379,0.4090010150201576,0.2893639411263271,-3.089665000243515,0.0020038236907821325,601,0.309131809281379,No,Yes,OpenSea,chr1,ZNF684,Body
cg18272906,0.4674343839310315,1.595894483793995,0.15153851402830762,3.0845913128309683,0.002038320291940983,601,0.3107315289130766,Yes,No,OpenSea,chr6,,
cg25480793,-1.3496622651981007,0.25932782989072345,0.43757787037926327,-3.0843933310162686,0.0020396773747475535,601,0.310811547406962,Yes,No,OpenSea,chr7,,
cg03723148,-1.088859315153716,0.3366002295854177,0.35320777715131524,-3.0827727632034714,0.0020508168958296574,601,0.3112069134883734,No,No,OpenSea,chr17,LOC100128977;IMP5,Body;TSS1500
cg11509096,-0.6001294256021976,0.5487406104139018,0.1947233655087474,-3.081958983372432,0.0020564317131031625,601,0.3112069134883734,No,No,OpenSea,chr1,,
cg12470768,0.6570629369181952,1.9291180641894936,0.21328733582650453,3.0806467452557684,0.0020655154442766723,601,0.31188573409456005,Yes,Yes,OpenSea,chr5,BASP1;BASP1,5'UTR;5'UTR
cg24433189,-0.6819980246639009,0.5056057696800338,0.22153332681885832,-3.0785346586771203,0.0020802133117895196,601,0.31268368135604124,Yes,No,Island,chr16,SSTR5;LOC146336,TSS200;Body
cg21246557,0.6872323912176855,1.9882053371745423,0.22337479760608653,3.0765887583683247,0.0020938395468308177,601,0.3136768625271636,No,No,N_Shore,chr16,CCDC113;CCDC113,TSS1500;TSS1500
cg05244443,-1.1529615325905942,0.3157004264565604,0.37638159391626314,-3.0632782028313095,0.002189264270018577,601,0.31791147442038814,Yes,No,OpenSea,chr6,,
cg25486883,-1.2445366662970037,0.28807435177005913,0.4063738285787431,-3.062541381293332,0.002194661286816532,601,0.31824825980964644,Yes,No,OpenSea,chr6,,
cg19800916,-0.6434156493706698,0.5254944503785435,0.2101495613827625,-3.061703508382606,0.002200813293938849,601,0.3183658771124752,Yes,No,OpenSea,chr10,GRK5,Body
cg22358621,0.6228785521412504,1.8642867721336702,0.203641730667715,3.058697989350768,0.0022230113126761614,601,0.3187154620768797,Yes,No,OpenSea,chr1,,
cg16856792,-0.8300323866245726,0.4360351643856865,0.2714767571908444,-3.0574712738338454,0.0022321303471493884,601,0.31898591938876414,Yes,No,OpenSea,chr12,ACVR1B;ACVR1B;ACVR1B,Body;Body;5'UTR
cg20611399,-0.5091481300425963,0.6010073409018365,0.16667529629684377,-3.0547306130826883,0.002252627563506967,601,0.3193954697883052,No,No,N_Shore,chr20,PSMF1;PSMF1,TSS1500;5'UTR
cg15137408,-1.0088825120671643,0.36462621738539647,0.3304414701615251,-3.0531352846663173,0.002264638182804638,601,0.3195993632706232,Yes,No,OpenSea,chr15,WDR73;WDR73;WDR73;WDR73;WDR73,Body;Body;Body;Body;Body
cg06664104,-0.9185314820815828,0.3991047033596993,0.30099178897194295,-3.0516828555984428,0.0022756239601295744,601,0.3200010515319257,Yes,Yes,OpenSea,chr10,,
cg12402265,-1.3141264557350623,0.2687089499080558,0.4309678853792569,-3.0492445036330613,0.0022941768217161064,601,0.32070461396882927,Yes,No,N_Shelf,chr3,IL17RE;IL17RE;IL17RE;IL17RE;IL17RE,Body;Body;Body;Body;Body
cg03583601,-1.3037603527603192,0.271508901775115,0.42787599430407114,-3.047051879787859,0.0023109781982130987,601,0.32131412769408285,Yes,Yes,OpenSea,chr3,,
cg15877915,-0.5944639095835424,0.5518583325452254,0.19507686481253875,-3.0473316769510266,0.0023088279468880166,601,0.32131412769408285,No,No,S_Shelf,chr10,TACC2;TACC2;TACC2;TACC2,Body;Body;Body;Body
cg09589067,0.9500879035768832,2.5859369624339137,0.3121244283188869,3.0439395874718613,0.0023350202551265563,601,0.3219703338339066,Yes,No,OpenSea,chr17,MSI2;MSI2,Body;Body
cg24534258,0.7934391087894306,2.2109871915242225,0.26135091043634784,3.035914845158625,0.0023980708095953283,601,0.3232784660068469,Yes,No,OpenSea,chr6,DSE,5'UTR
cg02813355,-1.0912027601794834,0.3358123489897243,0.36058124186492085,-3.026232741713903,0.002476216187463417,601,0.32606056067396044,No,No,OpenSea,chr12,,
cg25932290,-1.269734191644711,0.2809062790917071,0.4199339038777897,-3.0236524841638706,0.002497431357658692,601,0.3265687837103025,No,No,N_Shelf,chr15,LOC254559,Body
cg27404198,-1.207817653070265,0.29884875996681753,0.3996858287517541,-3.0219176317618293,0.0025117888587874327,601,0.32681204192424756,Yes,Yes,OpenSea,chr8,,
cg00580617,-0.7028805681403117,0.4951569142607402,0.23285827663352202,-3.018490810384731,0.0025403710617763462,601,0.32782387152205095,No,No,OpenSea,chr15,,
cg07561162,-1.0484980630162863,0.3504637284535804,0.3472831100858078,-3.0191449931360617,0.002534891830688164,601,0.32782387152205095,Yes,No,OpenSea,chr16,GRIN2A;GRIN2A;GRIN2A,Body;Body;Body
cg12186807,0.8750686295915977,2.3990399334483223,0.2900930316729061,3.0165103399597677,0.0025570249679716882,601,0.328287539082484,No,No,OpenSea,chr8,,
cg01304256,0.538793040300871,1.7139369604540355,0.17877000594711479,3.013889480208784,0.002579217446055864,601,0.32852302723313215,No,No,OpenSea,chr2,FEZ2;FEZ2,Body;Body
cg04346283,-0.9097117654710727,0.40264026213602266,0.30189086699277295,-3.0133795517995927,0.0025835557461093036,601,0.3286176382945307,Yes,No,N_Shore,chr6,FAM46A,Body
cg23661483,0.8616825858805648,2.367140261565998,0.2861101877312145,3.011715845260534,0.002597756442540079,601,0.32926563111426266,No,No,S_Shelf,chr19,ILVBL,Body
cg07507251,-0.5671840598712317,0.567120168754602,0.18863266355468924,-3.0068178500103246,0.002639978994604867,601,0.3303755251113995,Yes,No,Island,chr3,NT5DC2;NT5DC2,Body;Body
cg02387312,-0.968710562510408,0.3795721572609176,0.32234511123236675,-3.0051970039405997,0.0026540888392940394,601,0.33051124705428103,Yes,Yes,OpenSea,chr2,HECW2;HECW2,Body;Body
cg02392359,-0.578073366450937,0.5609781253582522,0.1923996275600523,-3.0045451427420624,0.002659782852791916,601,0.33051124705428103,Yes,Yes,OpenSea,chr15,RAB27A,5'UTR
cg09405380,-0.5095759914552251,0.6007502480559341,0.16967457801995514,-3.0032548034113558,0.0026710869154647236,601,0.3308405895824364,No,No,S_Shore,chr19,PBX4,TSS1500
cg02529358,-0.8079707253279648,0.44576172200216924,0.2691337596151002,-3.002115849321462,0.002681101226277978,601,0.33114593245848467,Yes,No,OpenSea,chr5,LOC728264,TSS200
cg05355306,-1.3882956069934003,0.24950018882096373,0.46390991285409433,-2.992597417141283,0.0027661436998904017,601,0.33349974547702116,Yes,Yes,N_Shore,chr11,,
cg25553730,-1.37857782763479,0.25193659566439924,0.4607262185795292,-2.9921844515059304,0.0027698885115857406,601,0.33349974547702116,Yes,No,OpenSea,chr7,CUX1;CUX1;CUX1;CUX1;CUX1;CUX1;CUX1,Body;Body;Body;Body;Body;Body;Body
cg17190441,-1.2851812003449554,0.2766004589922253,0.4295800336987586,-2.9917153953346536,0.0027741475741365983,601,0.33369287518978363,Yes,No,OpenSea,chr3,SEMA3B;SEMA3B;SEMA3B;SEMA3B-AS1;SEMA3B,TSS1500;5'UTR;5'UTR;TSS1500;TSS1500
cg06820437,-0.8526287769136489,0.42629282896846366,0.2851061444480121,-2.9905661225379947,0.002784608345870345,601,0.3340903858333168,Yes,No,OpenSea,chr3,COLQ;COLQ,Body;Body
cg23104520,-1.1400226168404508,0.31981178860231085,0.3815799253339043,-2.9876378214678505,0.002811425020377127,601,0.3350656022291087,Yes,Yes,OpenSea,chr8,,
cg21796547,-0.7144026559621943,0.4894844150817754,0.23918028005825365,-2.986879419106783,0.0028184086296376724,601,0.3352871767322269,Yes,No,N_Shore,chr14,PAPLN,5'UTR
cg24245367,-0.6317558097136373,0.53165749162406,0.21156520049125185,-2.9861045590045427,0.0028255601440839236,601,0.33576597103074257,Yes,No,OpenSea,chr8,RGS20;RGS20;RGS20;RGS20;RGS20;RGS20;RGS20,Body;Body;Body;Body;Body;Body;Body
cg14399122,-1.0284375067809657,0.3575652175469792,0.3456563110932413,-2.9753181810227187,0.002926847952520153,601,0.3388556856127563,Yes,No,Island,chr9,COL5A1,Body
cg14863926,-0.9619642730779338,0.3821415179750137,0.32364792148745875,-2.9722553713826634,0.0029562068536215513,601,0.33970954488180166,Yes,No,OpenSea,chr22,,
cg23217419,-1.112058287199867,0.32888133170117395,0.3745509399454705,-2.969044176906264,0.0029872764653587533,601,0.34098957428081933,Yes,No,N_Shore,chr1,KIAA1614,TSS1500
cg08160072,-0.9531251875725554,0.38553427185892336,0.3216779912681138,-2.962979169992826,0.003046771861614187,601,0.34237026127527526,No,No,S_Shelf,chr2,,
cg22641280,0.6255959636087619,1.8693596958758956,0.21123420520599734,2.961622446509909,0.003060227847745899,601,0.3427693803732541,Yes,No,N_Shelf,chr8,TOX,Body
cg14670681,-1.0692863441656466,0.3432533948170944,0.36183297178442675,-2.955193217722312,0.0031247328915042995,601,0.3443125544232969,Yes,No,OpenSea,chr3,,
cg19101503,-0.7497101052718816,0.47250350916490724,0.254334455027974,-2.9477331539268703,0.0032011325559768737,601,0.3461060494608914,No,No,S_Shore,chr17,ZNF232;USP6,TSS1500;5'UTR
cg01173316,-0.8948981207130726,0.40864922941225174,0.3040313379869996,-2.943440392158977,0.0032458632259863914,601,0.34673764821610936,Yes,Yes,OpenSea,chr10,,
cg07264682,-0.5553156912082888,0.5738910602339341,0.1891980449549642,-2.9351026927391004,0.003334373158993843,601,0.34873701697680437,No,No,OpenSea,chr10,,
cg09409342,-1.0512988595359236,0.3494835241797923,0.3580566185494588,-2.936124638038792,0.00332340761021153,601,0.34873701697680437,Yes,No,OpenSea,chr12,,
cg24621107,-1.2741851944171003,0.2796587429177945,0.43438630369838926,-2.9332996541755954,0.0033538002789635997,601,0.34899675486136855,No,No,OpenSea,chr7,GRB10;GRB10;GRB10;GRB10,Body;Body;Body;Body
cg04682193,-1.0134170729946823,0.3629765406933807,0.3459921733207558,-2.9290173337394627,0.0034003545936817357,601,0.3499883809665416,No,No,OpenSea,chr12,KDM2B;KDM2B,3'UTR;3'UTR
cg13169003,-1.1594667832341963,0.3136533815432359,0.3958880803727272,-2.9287741680491175,0.0034030156856966667,601,0.3499883809665416,Yes,No,OpenSea,chr1,,
cg14545570,-0.5137376893861004,0.5982553021981153,0.1754066977544036,-2.9288373589098198,0.003402323972088403,601,0.3499883809665416,Yes,No,S_Shore,chr9,COL27A1,Body
cg21820708,-1.0272869880452935,0.35797683977312816,0.3506693853657822,-2.9295029190350723,0.0033950462427064505,601,0.3499883809665416,Yes,No,OpenSea,chr20,CDH22,Body
cg22587855,-0.2917966163647877,0.7469204319189168,0.09977314959945295,-2.9246006318957343,0.0034489854334872902,601,0.35133276136728975,Yes,Yes,OpenSea,chr1,,
cg11915589,-0.5036075902395768,0.6043464877921636,0.17220129399732065,-2.924528489590866,0.0034497849967187427,601,0.3513662935436278,Yes,Yes,OpenSea,chr4,PALLD;PALLD,Body;Body
cg25434223,0.4749254315976485,1.6078942949066453,0.16239875657905564,2.924440073323191,0.0034507651566453262,601,0.35141360653222914,No,No,Island,chr19,ELAVL3;ELAVL3;ELAVL3;ELAVL3,5'UTR;1stExon;1stExon;5'UTR
cg24460268,0.4811313847879473,1.617903838891006,0.16458834766353198,2.923240871045892,0.00346408426059885,601,0.35176749061747264,Yes,No,OpenSea,chr13,INTS6;INTS6,Body;Body
cg03401523,0.8981044539436156,2.4549452361822772,0.30731420704189844,2.92243063732218,0.003473109699949527,601,0.35229367500759884,Yes,No,OpenSea,chr14,DCAF5;DCAF5;DCAF5;DCAF5,Body;Body;Body;Body
cg02088996,-0.8393062334929163,0.43201013364874097,0.28728541422748693,-2.921506599107436,0.0034834289598390444,601,0.35248601522901235,No,No,OpenSea,chr7,LOC285954,Body
cg02191674,-0.9106430476146382,0.4022654649976441,0.3121369760083462,-2.9174468826477273,0.0035290975157294072,601,0.354370918443279,Yes,No,OpenSea,chr1,,
cg10932166,-0.9614870732613094,0.3823239193548071,0.3298046876173954,-2.9153226420381424,0.003553209998766883,601,0.35549658130735307,Yes,Yes,OpenSea,chr16,ZFHX3;ZFHX3,5'UTR;5'UTR
cg05806875,-0.5342303884178987,0.5861202015048166,0.18325884099745868,-2.915168433403478,0.003554966259276615,601,0.3555823107062729,Yes,No,Island,chr10,,
cg20507228,0.5013011921526895,1.6508679702109328,0.17235977603667185,2.9084581314728037,0.0036321580882192734,601,0.35765287969937665,No,No,OpenSea,chr15,MAN2A2,Body
cg06926961,0.519313077013728,1.6808726229953772,0.17857365658840693,2.9081169470068517,0.003636123317838627,601,0.3579010931557646,Yes,No,OpenSea,chr12,,
cg18306198,-0.8950862649265332,0.40857235165668193,0.30807622480223706,-2.9054051980191415,0.0036677793921670652,601,0.3587724170596769,Yes,No,OpenSea,chr11,SIK3;SIK3;SIK3,Body;Body;5'UTR
cg25363069,0.7508280763527492,2.1187537802901013,0.2584867779228968,2.9047059288143213,0.0036759829724778543,601,0.3587724170596769,Yes,No,OpenSea,chr2,GRHL1,Body
cg04362425,0.7913240002853709,2.206315655857052,0.27259728189571125,2.9029049548194363,0.0036971882382352285,601,0.3593657345734484,No,No,OpenSea,chr2,PLCL1,Body
cg12807764,0.45321626152453137,1.5733644079099482,0.15682846026566236,2.8898852973293088,0.003853824150367418,601,0.3639217529080128,Yes,No,OpenSea,chr5,,
cg14891553,0.47998135378964024,1.6160442688105707,0.16627733969015554,2.8866311830827156,0.0038939038295568024,601,0.36434159226679647,No,No,OpenSea,chr19,ACTN4,Body
cg18458509,-1.0952256085862004,0.33446414045412054,0.3799891194211511,-2.8822551820815043,0.003948398277508855,601,0.36599787672542966,Yes,Yes,N_Shelf,chr11,SLC22A18AS;SLC22A18,Body;TSS1500
cg04415310,0.36955085607491467,1.447084519460097,0.12857789887430213,2.874139796266137,0.00405129597481114,601,0.3689350655518333,No,No,OpenSea,chr12,ZNF664-FAM101A,5'UTR
cg23168251,-0.6975720478631261,0.49779245399934585,0.24271988467437947,-2.8739798092725404,0.0040533487472774925,601,0.3689703201610213,Yes,No,N_Shore,chr2,MSH2;MSH2,TSS1500;TSS1500
cg20660424,0.918711219095194,2.5060585474129295,0.3197792235164962,2.8729546872759895,0.0040665243765666235,601,0.3692805664844258,Yes,No,N_Shelf,chr22,TTLL12,Body
cg15856066,-0.4116159074539788,0.6625787187312429,0.14334086906364465,-2.871587915873578,0.004084151601775867,601,0.3699097609618744,Yes,No,N_Shore,chr12,,
cg13526474,-0.7673692320205875,0.4642327519142283,0.2677699314940797,-2.8657781989892834,0.004159855881339462,601,0.37136750777402405,Yes,Yes,OpenSea,chr11,,
cg01812571,-0.6159705405063667,0.5401164359667063,0.21511709344775234,-2.86341978052048,0.004190949206290668,601,0.37222316742975764,Yes,No,N_Shore,chr12,,
cg00148618,-1.171892431573175,0.30978014847429025,0.40959222654799793,-2.8611198055435927,0.00422147492518979,601,0.3726885981130503,Yes,Yes,OpenSea,chr1,C1orf204,Body
cg20557018,-0.7777053320201042,0.45945910869349527,0.27167875131406843,-2.8625916758615197,0.00420191682852648,601,0.3726885981130503,No,No,OpenSea,chr13,N4BP2L2;N4BP2L2,Body;Body
cg20014974,-1.0176382856745794,0.36144756884532553,0.3558137260154541,-2.8600309973156577,0.0042359960169508,601,0.37280540813940793,Yes,No,N_Shore,chr1,,
cg22656671,-1.0474098624413788,0.35084531086581283,0.3662012177449308,-2.8602031115334206,0.004233697573376816,601,0.37280540813940793,No,Yes,OpenSea,chr14,,
cg12199583,0.5987407901187485,1.8198258143705517,0.20964186360751413,2.856017304061439,0.004289917530877597,601,0.3739289674694612,Yes,No,OpenSea,chr3,SLC9C1,Body
cg18323449,0.6739945051981707,1.9620591435273171,0.23699053732722028,2.843972222686534,0.004455493198824726,601,0.377807673259215,Yes,No,N_Shore,chr18,,
cg01734180,0.817517987917576,2.2648714172954607,0.2877795402100696,2.840778699280758,0.004500353023782573,601,0.37912187906903194,No,Yes,OpenSea,chr20,MANBAL;MANBAL,5'UTR;5'UTR
cg05456799,-1.3724632654387348,0.25348179694841744,0.4837383731574919,-2.8372015568669773,0.004551087185761615,601,0.3803077644054381,Yes,No,OpenSea,chr8,TRPS1;TRPS1;TRPS1,Body;Body;Body
cg22784836,-0.6968395353385601,0.49815722679054325,0.24566709776015286,-2.8365195896883644,0.0045608180368148675,601,0.3805674549977625,No,No,N_Shelf,chr11,,
cg27025478,-0.8854922843173214,0.4125110505651735,0.31218830976550144,-2.836404364348089,0.004562464023592924,601,0.3806197650595759,Yes,Yes,OpenSea,chr21,,
cg24327132,-0.6335636672171489,0.5306971989362476,0.22356820883784456,-2.8338719109955233,0.00459877609438328,601,0.3810832494476641,Yes,No,N_Shore,chr15,PKM2;PKM2;PKM2,5'UTR;5'UTR;5'UTR
cg26680656,0.8393721926767815,2.3149132010230904,0.29621944922767157,2.833616073709082,0.004602458984500872,601,0.3810832494476641,No,No,OpenSea,chr13,ENOX1;ENOX1;ENOX1,Body;Body;Body
cg15547825,-0.3974622053673605,0.6720233410429243,0.14041965741606655,-2.8305310857558297,0.004647079515180785,601,0.3823411671163942,Yes,No,Island,chr16,,
cg09289820,-0.22845721402329033,0.7957603438596585,0.0808325312771385,-2.8263028562103663,0.004708871966995124,601,0.38412506081751857,Yes,No,S_Shore,chr6,,
cg01581098,0.7192023381273689,2.0527951210095674,0.2544809265799684,2.8261541947088356,0.004711058018027139,601,0.38417752383252324,No,No,S_Shore,chr7,SYPL1,TSS1500
cg20435485,-0.20187003232023593,0.8172011307754867,0.07147988686678763,-2.824151536451755,0.0047405965672219896,601,0.38482116300643016,Yes,No,OpenSea,chr22,FAM116B,Body
cg09210964,-0.39758046371171585,0.6719438733741945,0.14081230943991108,-2.823478041750147,0.004750567996448975,601,0.38521174556524096,No,No,N_Shelf,chr12,,
cg26546143,0.7034575018817935,2.0207273116515103,0.24955476351570208,2.8188502273871907,0.004819600074506663,601,0.386679307830857,No,No,OpenSea,chr21,,
cg00134210,-0.7446662689756899,0.47489275994414554,0.2643665368372983,-2.8167947346300757,0.00485055149778819,601,0.3876798999899453,Yes,No,N_Shore,chr10,FAM107B,Body
cg25125231,-0.5247010825468081,0.5917322170206092,0.1864302356425956,-2.814463441180806,0.004885873468031377,601,0.38858600464597326,No,No,OpenSea,chr12,B4GALNT3,Body
cg26858921,-0.38992836899789857,0.6771053744975957,0.1386081023189669,-2.813171542458535,0.004905547369969005,601,0.3888720129588053,No,No,OpenSea,chr12,KCNC2;KCNC2;KCNC2;KCNC2;KCNC2;KCNC2,Body;Body;Body;Body;Body;Body
cg20879720,-0.7547713839798204,0.4701180789702752,0.2687990715497226,-2.8079389546559588,0.004985967727720861,601,0.3906146277197244,Yes,Yes,OpenSea,chr5,LHFPL2,5'UTR
